# CONVERGE Release Build 2.3.29/  Dec 13, 2017        Run Date:Sat Jan 13 15:08:31 2018
# column       1                2                3                4                5                6                7                8                9               10               11               12               13               14               15               16               17 
#          Crank         Pressure         Max_Pres         Min_Pres        Mean_Temp         Max_Temp         Min_Temp           Volume             Mass          Density    Integrated_HR          HR_Rate              C_p              C_v            Gamma         Kin_Visc         Dyn_Visc
#          (DEG)            (MPa)            (MPa)            (MPa)              (K)              (K)              (K)            (m^3)             (kg)         (kg/m^3)              (J)         (J/time)         (J/kg-K)         (J/kg-K)           (none)          (m^2/s)        (N*s/m^2)
#
 -3.1922993e+002   9.3401706e-002   9.8719403e-002   8.5269487e-002   4.8665564e+002   1.0348623e+003   3.3649904e+002   1.2782105e-004   9.3103047e-005   7.2838587e-001  -1.8186726e-006  -2.1501134e-008   1.2351468e+003   9.7323432e+002   1.2691155e+000   3.7017290e-005   2.6107064e-005
 -3.1919714e+002   9.3418141e-002   9.8726485e-002   8.5279217e-002   4.8653616e+002   1.0347650e+003   3.3718150e+002   1.2793052e-004   9.3222474e-005   7.2869610e-001  -1.8193725e-006  -2.1343573e-008   1.2350504e+003   9.7313225e+002   1.2691496e+000   3.6992323e-005   2.6103202e-005
 -3.1916433e+002   9.3434463e-002   9.8732141e-002   8.5301489e-002   4.8641687e+002   1.0346670e+003   3.3720815e+002   1.2804025e-004   9.3341989e-005   7.2900507e-001  -1.8200706e-006  -2.1280566e-008   1.2349539e+003   9.7302984e+002   1.2691840e+000   3.6967438e-005   2.6099349e-005
 -3.1913151e+002   9.3450866e-002   9.8739951e-002   8.5340063e-002   4.8629794e+002   1.0345692e+003   3.3743999e+002   1.2815003e-004   9.3461623e-005   7.2931412e-001  -1.8207665e-006  -2.1201026e-008   1.2348572e+003   9.7292739e+002   1.2692183e+000   3.6942614e-005   2.6095504e-005
 -3.1909866e+002   9.3467334e-002   9.8745394e-002   8.5361942e-002   4.8617927e+002   1.0344689e+003   3.3743606e+002   1.2825988e-004   9.3581448e-005   7.2962370e-001  -1.8214604e-006  -2.1126655e-008   1.2347611e+003   9.7282551e+002   1.2692524e+000   3.6917807e-005   2.6091669e-005
 -3.1906580e+002   9.3483703e-002   9.8751873e-002   8.5352405e-002   4.8606071e+002   1.0343640e+003   3.3747243e+002   1.2837000e-004   9.3701400e-005   7.2993222e-001  -1.8221480e-006  -2.0922755e-008   1.2346648e+003   9.7272346e+002   1.2692865e+000   3.6893093e-005   2.6087832e-005
 -3.1903290e+002   9.3500151e-002   9.8758011e-002   8.5385417e-002   4.8594254e+002   1.0342540e+003   3.3771046e+002   1.2848022e-004   9.3821495e-005   7.3024075e-001  -1.8228352e-006  -2.0892264e-008   1.2345682e+003   9.7262108e+002   1.2693208e+000   3.6868420e-005   2.6084010e-005
 -3.1899998e+002   9.3516675e-002   9.8769855e-002   8.5410351e-002   4.8582468e+002   1.0341396e+003   3.3795436e+002   1.2859055e-004   9.3941736e-005   7.3054932e-001  -1.8235213e-006  -2.0838347e-008   1.2344719e+003   9.7251889e+002   1.2693551e+000   3.6843771e-005   2.6080197e-005
 -3.1896703e+002   9.3533045e-002   9.8782785e-002   8.5427926e-002   4.8570637e+002   1.0340222e+003   3.3812937e+002   1.2870165e-004   9.4062600e-005   7.3085778e-001  -1.8242038e-006  -2.0714776e-008   1.2343747e+003   9.7241595e+002   1.2693896e+000   3.6819164e-005   2.6076362e-005
 -3.1893407e+002   9.3549508e-002   9.8787230e-002   8.5433072e-002   4.8558875e+002   1.0339036e+003   3.3820142e+002   1.2881231e-004   9.4183194e-005   7.3116608e-001  -1.8248836e-006  -2.0622105e-008   1.2342786e+003   9.7231420e+002   1.2694237e+000   3.6794625e-005   2.6072550e-005
 -3.1890108e+002   9.3565996e-002   9.8801071e-002   8.5450402e-002   4.8547154e+002   1.0337836e+003   3.3771858e+002   1.2892305e-004   9.4303825e-005   7.3147373e-001  -1.8255605e-006  -2.0521636e-008   1.2341818e+003   9.7221147e+002   1.2694582e+000   3.6770159e-005   2.6068754e-005
 -3.1886808e+002   9.3582386e-002   9.8818108e-002   8.5473931e-002   4.8535443e+002   1.0336612e+003   3.3742411e+002   1.2903406e-004   9.4424583e-005   7.3178029e-001  -1.8262348e-006  -2.0429482e-008   1.2340848e+003   9.7210862e+002   1.2694927e+000   3.6745797e-005   2.6064953e-005
 -3.1883505e+002   9.3598810e-002   9.8835222e-002   8.5468494e-002   4.8523715e+002   1.0335361e+003   3.3757853e+002   1.2914561e-004   9.4545892e-005   7.3208756e-001  -1.8269049e-006  -2.0287214e-008   1.2339876e+003   9.7200545e+002   1.2695274e+000   3.6721408e-005   2.6061148e-005
 -3.1880201e+002   9.3615277e-002   9.8853143e-002   8.5501237e-002   4.8512073e+002   1.0334078e+003   3.3775493e+002   1.2925674e-004   9.4666820e-005   7.3239369e-001  -1.8275701e-006  -2.0133993e-008   1.2338902e+003   9.7190207e+002   1.2695622e+000   3.6697160e-005   2.6057369e-005
 -3.1876896e+002   9.3631611e-002   9.8870621e-002   8.5531746e-002   4.8500450e+002   1.0332762e+003   3.3805880e+002   1.2936811e-004   9.4787772e-005   7.3269815e-001  -1.8282352e-006  -2.0123222e-008   1.2337921e+003   9.7179783e+002   1.2695975e+000   3.6673032e-005   2.6053594e-005
 -3.1873590e+002   9.3647960e-002   9.8888433e-002   8.5553373e-002   4.8488857e+002   1.0331409e+003   3.3711783e+002   1.2947951e-004   9.4908781e-005   7.3300231e-001  -1.8288971e-006  -2.0020362e-008   1.2336939e+003   9.7169342e+002   1.2696328e+000   3.6648965e-005   2.6049824e-005
 -3.1870283e+002   9.3664401e-002   9.8908813e-002   8.5571404e-002   4.8477308e+002   1.0330019e+003   3.3671742e+002   1.2959095e-004   9.5029909e-005   7.3330670e-001  -1.8295510e-006  -1.9774545e-008   1.2335960e+003   9.7158941e+002   1.2696680e+000   3.6624948e-005   2.6046069e-005
 -3.1866974e+002   9.3680745e-002   9.8921847e-002   8.5551713e-002   4.8465756e+002   1.0328591e+003   3.3810539e+002   1.2970262e-004   9.5151235e-005   7.3361072e-001  -1.8302039e-006  -1.9734046e-008   1.2334992e+003   9.7148662e+002   1.2697027e+000   3.6600944e-005   2.6042315e-005
 -3.1863664e+002   9.3697075e-002   9.8935495e-002   8.5594045e-002   4.8454208e+002   1.0327123e+003   3.4003061e+002   1.2981489e-004   9.5273010e-005   7.3391434e-001  -1.8308530e-006  -1.9607940e-008   1.2334003e+003   9.7138146e+002   1.2697383e+000   3.6577013e-005   2.6038554e-005
 -3.1860350e+002   9.3713510e-002   9.8948085e-002   8.5622038e-002   4.8442743e+002   1.0325588e+003   3.3864514e+002   1.2992675e-004   9.5394468e-005   7.3421729e-001  -1.8315014e-006  -1.9567921e-008   1.2333018e+003   9.7127675e+002   1.2697739e+000   3.6553185e-005   2.6034825e-005
 -3.1857035e+002   9.3729825e-002   9.8964677e-002   8.5648104e-002   4.8431280e+002   1.0324024e+003   3.3805738e+002   1.3003887e-004   9.5516074e-005   7.3451938e-001  -1.8321472e-006  -1.9477839e-008   1.2332034e+003   9.7117207e+002   1.2698094e+000   3.6529425e-005   2.6031094e-005
 -3.1853717e+002   9.3746196e-002   9.8983030e-002   8.5672868e-002   4.8419858e+002   1.0322419e+003   3.3845801e+002   1.3015109e-004   9.5637788e-005   7.3482124e-001  -1.8327891e-006  -1.9346143e-008   1.2331049e+003   9.7106728e+002   1.2698450e+000   3.6505732e-005   2.6027375e-005
 -3.1850397e+002   9.3762618e-002   1.0041050e-001   8.5654678e-002   4.8408468e+002   1.0320767e+003   3.3903844e+002   1.3026339e-004   9.5759636e-005   7.3512318e-001  -1.8334285e-006  -1.9257805e-008   1.2330067e+003   9.7096281e+002   1.2698805e+000   3.6482059e-005   2.6023669e-005
 -3.1847074e+002   9.3778937e-002   9.9065258e-002   8.5708654e-002   4.8397085e+002   1.0319089e+003   3.3850339e+002   1.3037596e-004   9.5881640e-005   7.3542423e-001  -1.8340671e-006  -1.9216797e-008   1.2329082e+003   9.7085802e+002   1.2699161e+000   3.6458478e-005   2.6019961e-005
 -3.1843748e+002   9.3795274e-002   9.9018380e-002   8.5732711e-002   4.8385717e+002   1.0317400e+003   3.3824101e+002   1.3048865e-004   9.6003803e-005   7.3572532e-001  -1.8347000e-006  -1.9031527e-008   1.2328098e+003   9.7075328e+002   1.2699517e+000   3.6434930e-005   2.6016257e-005
 -3.1840420e+002   9.3811646e-002   9.9024245e-002   8.5756494e-002   4.8374361e+002   1.0315707e+003   3.3800243e+002   1.3060142e-004   9.6126139e-005   7.3602674e-001  -1.8353339e-006  -1.9045913e-008   1.2327118e+003   9.7064901e+002   1.2699872e+000   3.6411393e-005   2.6012554e-005
 -3.1837089e+002   9.3827921e-002   9.9029691e-002   8.5777349e-002   4.8363006e+002   1.0313996e+003   3.3808790e+002   1.3071447e-004   9.6248639e-005   7.3632737e-001  -1.8359664e-006  -1.8989004e-008   1.2326136e+003   9.7054461e+002   1.2700226e+000   3.6387924e-005   2.6008846e-005
 -3.1833755e+002   9.3844202e-002   9.9037372e-002   8.5776920e-002   4.8351665e+002   1.0312239e+003   3.3820954e+002   1.3082762e-004   9.6371270e-005   7.3662783e-001  -1.8365951e-006  -1.8859913e-008   1.2325158e+003   9.7044055e+002   1.2700580e+000   3.6364471e-005   2.6005145e-005
 -3.1830419e+002   9.3860545e-002   9.9047578e-002   8.5816354e-002   4.8340372e+002   1.0310432e+003   3.3872388e+002   1.3094087e-004   9.6494056e-005   7.3692848e-001  -1.8372220e-006  -1.8792053e-008   1.2324176e+003   9.7033609e+002   1.2700936e+000   3.6341093e-005   2.6001457e-005
 -3.1827081e+002   9.3876804e-002   9.9243169e-002   8.5845374e-002   4.8329070e+002   1.0308578e+003   3.3892004e+002   1.3105437e-004   9.6617026e-005   7.3722857e-001  -1.8378481e-006  -1.8757848e-008   1.2323196e+003   9.7023190e+002   1.2701289e+000   3.6317764e-005   2.5997764e-005
 -3.1823741e+002   9.3893080e-002   9.9076128e-002   8.5852627e-002   4.8317801e+002   1.0306711e+003   3.3911017e+002   1.3116796e-004   9.6740078e-005   7.3752824e-001  -1.8384720e-006  -1.8677703e-008   1.2322214e+003   9.7012741e+002   1.2701645e+000   3.6294503e-005   2.5994082e-005
 -3.1820399e+002   9.3909396e-002   9.9091695e-002   8.5867554e-002   4.8306524e+002   1.0304814e+003   3.3946491e+002   1.3128179e-004   9.6863445e-005   7.3782849e-001  -1.8390934e-006  -1.8592808e-008   1.2321232e+003   9.7002305e+002   1.2701999e+000   3.6271238e-005   2.5990393e-005
 -3.1817054e+002   9.3925633e-002   9.9108761e-002   8.5896365e-002   4.8295280e+002   1.0302908e+003   3.3928813e+002   1.3139576e-004   9.6986837e-005   7.3812760e-001  -1.8397137e-006  -1.8541168e-008   1.2320250e+003   9.6991859e+002   1.2702355e+000   3.6248074e-005   2.5986714e-005
 -3.1813706e+002   9.3941901e-002   9.9122002e-002   8.5920032e-002   4.8284068e+002   1.0300956e+003   3.3915983e+002   1.3150980e-004   9.7110325e-005   7.3842651e-001  -1.8403294e-006  -1.8394991e-008   1.2319266e+003   9.6981396e+002   1.2702711e+000   3.6224962e-005   2.5983046e-005
 -3.1810357e+002   9.3958250e-002   9.9133014e-002   8.5941223e-002   4.8272864e+002   1.0298964e+003   3.3916348e+002   1.3162409e-004   9.7234148e-005   7.3872610e-001  -1.8409441e-006  -1.8351744e-008   1.2318286e+003   9.6970974e+002   1.2703065e+000   3.6201850e-005   2.5979379e-005
 -3.1807005e+002   9.3974506e-002   9.9144136e-002   8.5951094e-002   4.8261698e+002   1.0296940e+003   3.3878685e+002   1.3173848e-004   9.7357953e-005   7.3902443e-001  -1.8415576e-006  -1.8300932e-008   1.2317305e+003   9.6960539e+002   1.2703421e+000   3.6178839e-005   2.5975724e-005
 -3.1803650e+002   9.3990795e-002   9.9158758e-002   8.5974224e-002   4.8250561e+002   1.0294874e+003   3.3852355e+002   1.3185298e-004   9.7481845e-005   7.3932229e-001  -1.8421672e-006  -1.8173212e-008   1.2316319e+003   9.6950045e+002   1.2703779e+000   3.6155899e-005   2.5972077e-005
 -3.1800293e+002   9.4007119e-002   9.9171815e-002   8.5998681e-002   4.8239450e+002   1.0292768e+003   3.3844447e+002   1.3196756e-004   9.7605821e-005   7.3961982e-001  -1.8427770e-006  -1.8166181e-008   1.2315332e+003   9.6939523e+002   1.2704139e+000   3.6132991e-005   2.5968439e-005
 -3.1796934e+002   9.4023307e-002   9.9182907e-002   8.6014050e-002   4.8228344e+002   1.0290623e+003   3.3851899e+002   1.3208243e-004   9.7729983e-005   7.3991662e-001  -1.8433820e-006  -1.8008401e-008   1.2314342e+003   9.6928981e+002   1.2704499e+000   3.6110160e-005   2.5964798e-005
 -3.1793573e+002   9.4039597e-002   9.9193143e-002   8.6025925e-002   4.8217272e+002   1.0288430e+003   3.3783121e+002   1.3219736e-004   9.7854310e-005   7.4021378e-001  -1.8439858e-006  -1.7963148e-008   1.2313357e+003   9.6918500e+002   1.2704857e+000   3.6087360e-005   2.5961165e-005
 -3.1790209e+002   9.4055984e-002   9.9211613e-002   8.6043454e-002   4.8206230e+002   1.0286196e+003   3.3142142e+002   1.3231243e-004   9.7978904e-005   7.4051169e-001  -1.8445858e-006  -1.7838013e-008   1.2312379e+003   9.6908102e+002   1.2705211e+000   3.6064573e-005   2.5957540e-005
 -3.1786843e+002   9.4072282e-002   9.9201345e-002   8.6065171e-002   4.8195208e+002   1.0283925e+003   3.3023058e+002   1.3242778e-004   9.8103595e-005   7.4080826e-001  -1.8451833e-006  -1.7749495e-008   1.2311395e+003   9.6897642e+002   1.2705568e+000   3.6041871e-005   2.5953920e-005
 -3.1783474e+002   9.4088580e-002   9.9210950e-002   8.6074135e-002   4.8184211e+002   1.0281624e+003   3.3215313e+002   1.3254327e-004   9.8228385e-005   7.4110426e-001  -1.8457787e-006  -1.7676025e-008   1.2310405e+003   9.6887097e+002   1.2705928e+000   3.6019243e-005   2.5950307e-005
 -3.1780103e+002   9.4104931e-002   9.9218727e-002   8.6081582e-002   4.8173256e+002   1.0279298e+003   3.3335887e+002   1.3265876e-004   9.8353203e-005   7.4139999e-001  -1.8463717e-006  -1.7592601e-008   1.2309414e+003   9.6876532e+002   1.2706291e+000   3.5996672e-005   2.5946707e-005
 -3.1776731e+002   9.4121119e-002   9.9230347e-002   8.6100203e-002   4.8162304e+002   1.0276941e+003   3.2947646e+002   1.3277449e-004   9.8478085e-005   7.4169430e-001  -1.8469598e-006  -1.7436056e-008   1.2308419e+003   9.6865925e+002   1.2706655e+000   3.5974188e-005   2.5943107e-005
 -3.1773356e+002   9.4137395e-002   9.9239088e-002   8.6122477e-002   4.8151389e+002   1.0274532e+003   3.2888767e+002   1.3289031e-004   9.8603114e-005   7.4198876e-001  -1.8475458e-006  -1.7364435e-008   1.2307426e+003   9.6855343e+002   1.2707018e+000   3.5951755e-005   2.5939516e-005
 -3.1769979e+002   9.4153688e-002   9.9246775e-002   8.6136011e-002   4.8140506e+002   1.0272034e+003   3.2922502e+002   1.3300617e-004   9.8728215e-005   7.4228294e-001  -1.8481267e-006  -1.7204660e-008   1.2306434e+003   9.6844761e+002   1.2707382e+000   3.5929371e-005   2.5935936e-005
 -3.1766601e+002   9.4169896e-002   9.9876933e-002   8.6151251e-002   4.8129611e+002   1.0269380e+003   3.2968873e+002   1.3312244e-004   9.8853668e-005   7.4257705e-001  -1.8487078e-006  -1.7197358e-008   1.2305452e+003   9.6834300e+002   1.2707741e+000   3.5906987e-005   2.5932355e-005
 -3.1763220e+002   9.4186137e-002   9.9432896e-002   8.6168651e-002   4.8118723e+002   1.0266596e+003   3.3077041e+002   1.3323891e-004   9.8979442e-005   7.4287188e-001  -1.8492844e-006  -1.7056986e-008   1.2304471e+003   9.6823858e+002   1.2708098e+000   3.5884631e-005   2.5928772e-005
 -3.1759838e+002   9.4202423e-002   9.9280087e-002   8.6187708e-002   4.8107886e+002   1.0263679e+003   3.3715153e+002   1.3335519e-004   9.9105019e-005   7.4316583e-001  -1.8498588e-006  -1.6983721e-008   1.2303487e+003   9.6813368e+002   1.2708458e+000   3.5862368e-005   2.5925206e-005
 -3.1756454e+002   9.4218516e-002   9.9288758e-002   8.6193198e-002   4.8097039e+002   1.0260633e+003   3.3193948e+002   1.3347191e-004   9.9230839e-005   7.4345858e-001  -1.8504266e-006  -1.6780087e-008   1.2302499e+003   9.6802853e+002   1.2708819e+000   3.5840183e-005   2.5921637e-005
 -3.1753068e+002   9.4234584e-002   9.9306161e-002   8.6215210e-002   4.8086219e+002   1.0257610e+003   3.3641494e+002   1.3358867e-004   9.9356684e-005   7.4375082e-001  -1.8509942e-006  -1.6761812e-008   1.2301516e+003   9.6792378e+002   1.2709179e+000   3.5818058e-005   2.5918077e-005
 -3.1749680e+002   9.4250688e-002   9.9319844e-002   8.6237516e-002   4.8075411e+002   1.0254488e+003   3.2957777e+002   1.3370553e-004   9.9482699e-005   7.4404324e-001  -1.8515590e-006  -1.6671190e-008   1.2300535e+003   9.6781923e+002   1.2709537e+000   3.5795964e-005   2.5914518e-005
 -3.1746289e+002   9.4266677e-002   9.9334287e-002   8.6259599e-002   4.8064617e+002   1.0251199e+003   3.2785751e+002   1.3382266e-004   9.9608821e-005   7.4433448e-001  -1.8521180e-006  -1.6485788e-008   1.2299548e+003   9.6771408e+002   1.2709899e+000   3.5773949e-005   2.5910962e-005
 -3.1742895e+002   9.4282707e-002   9.9354560e-002   8.6277280e-002   4.8053846e+002   1.0247760e+003   3.2727651e+002   1.3393992e-004   9.9735111e-005   7.4462575e-001  -1.8526742e-006  -1.6388346e-008   1.2298561e+003   9.6760886e+002   1.2710261e+000   3.5751961e-005   2.5907412e-005
 -3.1739497e+002   9.4298800e-002   9.9366720e-002   8.6291012e-002   4.8043090e+002   1.0244160e+003   3.2685852e+002   1.3405732e-004   9.9861626e-005   7.4491734e-001  -1.8532255e-006  -1.6223981e-008   1.2297575e+003   9.6750389e+002   1.2710621e+000   3.5730005e-005   2.5903865e-005
 -3.1736097e+002   9.4314756e-002   9.9383709e-002   8.6316953e-002   4.8032334e+002   1.0240461e+003   3.2686955e+002   1.3417501e-004   9.9988275e-005   7.4520791e-001  -1.8537749e-006  -1.6154425e-008   1.2296589e+003   9.6739875e+002   1.2710983e+000   3.5708119e-005   2.5900317e-005
 -3.1732693e+002   9.4330810e-002   9.9437087e-002   8.6332372e-002   4.8021591e+002   1.0236648e+003   3.2712386e+002   1.3429278e-004   1.0011522e-004   7.4549960e-001  -1.8543224e-006  -1.6088900e-008   1.2295616e+003   9.6729526e+002   1.2711337e+000   3.5686201e-005   2.5896776e-005
 -3.1729287e+002   9.4346839e-002   9.9407284e-002   8.6341293e-002   4.8010760e+002   1.0232663e+003   3.2754840e+002   1.3441196e-004   1.0024344e-004   7.4579257e-001  -1.8548650e-006  -1.5928995e-008   1.2294625e+003   9.6718978e+002   1.2711699e+000   3.5664224e-005   2.5893195e-005
 -3.1725878e+002   9.4362806e-002   9.9417084e-002   8.6354548e-002   4.8000060e+002   1.0228549e+003   3.2832366e+002   1.3453011e-004   1.0037058e-004   7.4608266e-001  -1.8554033e-006  -1.5793736e-008   1.2293641e+003   9.6708496e+002   1.2712059e+000   3.5642474e-005   2.5889660e-005
 -3.1722469e+002   9.4378754e-002   9.9428572e-002   8.6367568e-002   4.7989380e+002   1.0224295e+003   3.3194956e+002   1.3464831e-004   1.0049778e-004   7.4637241e-001  -1.8559369e-006  -1.5649142e-008   1.2292656e+003   9.6698002e+002   1.2712420e+000   3.5620771e-005   2.5886129e-005
 -3.1719058e+002   9.4394725e-002   9.9439215e-002   8.6378377e-002   4.7978724e+002   1.0219809e+003   3.3260420e+002   1.3476661e-004   1.0062510e-004   7.4666196e-001  -1.8564676e-006  -1.5559255e-008   1.2291673e+003   9.6687533e+002   1.2712780e+000   3.5599115e-005   2.5882606e-005
